9.975670590287533113e-02,1.706538343179772599e-01,-8.539809410107731397e-03,5.290314344268292474e-02,-2.293734974539096416e-01,-2.021458775248343720e-01
1.187952581820137660e-01,1.177305761162423803e-01,-8.738599962552802761e-03,4.329622042886112354e-02,-2.243723360478453999e-01,-1.990825481454513435e-01
1.322651665560537759e-01,1.837926137440884788e-01,-1.498028708861188010e-02,4.284145842211635469e-02,-2.164222139610935125e-01,-1.634013707237181590e-01
1.420081327891304368e-01,1.468281266033223120e-01,-1.515524874108209810e-02,3.146100520767926290e-02,-2.080880580964179216e-01,-1.330345655403654681e-01
1.488188719676292182e-01,1.129440451320650324e-01,-1.430258464249894133e-02,2.234088006948024147e-02,-1.998221718224301724e-01,-1.104957679841876705e-01
1.533092443534974092e-01,1.598380022902569364e-01,-1.867006793359495334e-02,2.322177168829180766e-02,-1.913075088146011515e-01,-8.879634085011681166e-02
1.559289186992665055e-01,2.514332970668307632e-01,-2.721532582534792397e-02,2.991948831066253145e-02,-1.826126185018946413e-01,-6.722876180235146104e-02
1.573317752504238831e-01,2.007952446703887006e-01,-2.589142038927029488e-02,2.158054335887103770e-02,-1.768092315512733714e-01,-6.868396259977603557e-02
1.573667960869101212e-01,1.602966824380269717e-01,-2.390226642683592612e-02,1.520752418567980317e-02,-1.710089783797839602e-01,-6.957810037779635359e-02
1.562945402336216594e-01,1.279219993105589759e-01,-2.158929616753190242e-02,1.026648102337902706e-02,-1.652767001975117001e-01,-7.013268422130011781e-02
1.542797381634851972e-01,9.501333718632824776e-02,-1.863481956560652728e-02,5.546515086408092612e-03,-1.594959542494488458e-01,-7.086244540171549033e-02
1.516433962288050163e-01,1.045107394461087247e-01,-1.844709940423810285e-02,5.993206811290364804e-03,-1.534377040901015732e-01,-6.673485049846983319e-02
1.483668161000959440e-01,7.773245643675268102e-02,-1.579177611567915765e-02,2.538897521145451041e-03,-1.478538922550057255e-01,-6.735394777404409006e-02
1.447195395082016278e-01,8.532515926605978296e-02,-1.535753105868256814e-02,3.218270527422310325e-03,-1.420498634287580830e-01,-6.394128801571494214e-02
